"sample","analyze","build","deploy","launch","capture","uninstall","scenarios_n","captures_n","elapsed_sec","error"
"Accelerometer","ok","ok","ok","ok","ok","ok","6","7","43",""
"ActivitySensor","ok","ok","ok","ok","ok","ok","4","9","50",""
"AdaptiveStreaming","ok","skipped","ok","ok","ok","ok","7","29","62",""
"AdvancedCasting","ok","ok","ok","ok","ok","ok","0","14","77",""
"Altimeter","ok","ok","ok","ok","ok","ok","2","5","34",""
"ApplicationData","ok","skipped","ok","ok","ok","ok","7","6","19",""
"ApplicationResources","ok","ok","ok","ok","ok","ok","13","23","56",""
"AssociationLaunching","ok","skipped","ok","ok","ok","ok","4","8","21",""
"BackgroundActivation","ok","ok","ok","ok","ok","ok","6","14","73",""
"BackgroundMediaPlayback","ok","ok","ok","ok","ok-generic","ok","1","1","45",""
"BackgroundSensors","ok","ok","ok","ok","ok","ok","","3","28",""
"Barometer","ok","ok","ok","ok","ok","ok","2","5","34",""
"BasicInput","ok","skipped","ok","ok","ok","ok","0","8","22",""
"BasicMediaCasting","ok","ok","ok","ok","ok","ok","3","13","63",""
"BasicSuspension","ok","skipped","ok","ok","ok-generic","ok","0","4","16",""
"BluetoothAdvertisement","ok","ok","ok","ok","failed","pending","4","0","48","Could not find main window (looked for 'Bluetooth Advertisement C# Sample')"
"BluetoothLE","ok","ok","ok","ok","failed","pending","4","0","51","Could not find main window (looked for 'Bluetooth Low Energy C# sample')"
"BluetoothRfcommChat","ok","ok","ok","ok","ok","ok","3","10","52",""
"CameraAdvancedCapture","ok","ok","ok","ok","ok-generic","ok","0","1","40",""
"CameraFaceDetection","ok","ok","ok","ok","ok-generic","ok","0","1","40",""
"CameraFrames","ok","skipped","ok","ok","ok","ok","2","3","16",""
"CameraGetPreviewFrame","ok","skipped","ok","ok","ok-generic","ok","0","1","9",""
"CameraManualControls","ok","ok","ok","ok","ok-generic","ok","0","1","46",""
"CameraOpenCV","ok","ok","ok","ok","crashed","ok","1","0","47","App window found (hwnd=5245388) but PrintWindow returned null after retry - app likely crashed during startup."
"CameraProfile","ok","skipped","ok","ok","ok","ok","3","6","18",""
"CameraResolution","ok","skipped","ok","ok","ok","ok","3","7","21",""
"CameraStarterKit","ok","ok","ok","ok","ok-generic","ok","0","1","33",""
"CameraVideoStabilization","ok","ok","ok","ok","ok-generic","ok","0","1","40",""
"Compass","ok","ok","ok","ok","ok","ok","3","6","38",""
"Compression","ok","ok","ok","ok","ok","ok","","4","26",""
"ContentIndexer","ok","ok","ok","ok","ok","ok","","23","105",""
"CredentialPicker","ok","ok","ok","ok","ok","ok","3","4","29",""
"CustomHidDeviceAccess","ok","ok","ok","ok","ok","ok","4","6","40",""
"CustomSensors","ok","ok","ok","ok","ok","ok","2","5","34",""
"CustomSerialDeviceAccess","ok","ok","ok","ok","ok","ok","4","6","31",""
"CustomUsbDeviceAccess","ok","ok","ok","ok","ok","ok","7","9","38",""
"DatagramSocket","ok","ok","ok","ok","ok","ok","5","10","37",""
"DataReaderWriter","ok","ok","ok","ok","ok","ok","2","5","27",""
"DeviceEnumerationAndPairing","ok","ok","ok","ok","ok","ok","9","19","56",""
"DisablingScreenCapture","ok","ok","ok","ok","ok","ok","3","13","48",""
"DisplayOrientation","ok","ok","ok","ok","ok","ok","","3","24",""
"DpiScaling","failed","ok","ok","ok","ok","ok","0","3","24","analyze: Cannot bind argument to parameter 'Path' because it is an empty string."
"ExtendedExecution","ok","ok","ok","ok","ok","ok","4","8","34",""
"Geolocation","ok","ok","ok","ok","ok-generic","ok","8","1","32",""
"Geotag","ok","ok","ok","ok","ok","ok","","2","22",""
"Gyrometer","ok","ok","ok","ok","ok","ok","3","6","30",""
"HotspotAuthentication","ok","ok","ok","ok","ok","ok","3","3","31",""
"Inclinometer","ok","ok","ok","ok","ok","ok","3","6","29",""
"KeyCredentialManager","ok","ok","ok","ok","ok","ok","","2","22",""
"LampArray","ok","ok","ok","ok","ok","ok","2","5","34",""
"LampDevice","ok","ok","ok","ok","ok","ok","3","10","35",""
"LanguageFont","ok","ok","ok","ok","ok","ok","2","5","27",""
"LightSensor","ok","ok","ok","ok","ok","ok","2","5","27",""
"LinguisticServices","ok","failed","pending","pending","pending","pending","4","0","5","msbuild exit 1, see msbuild.log"
"Magnetometer","ok","ok","ok","ok","ok","ok","2","5","27",""
"MIDI","ok","ok","failed","pending","pending","pending","3","0","19","Add-AppxPackage (after cleanup) failed: Deployment failed with HRESULT: 0x80073CF3, Package failed updates, dependency or conflict validation.

Windows cannot install package Microsoft.SDKSamples.MIDI.CS_1.0.0.0_x64__8wekyb3d8bbwe because this package depends on a framework that could not be found. Provide the framework ""Microsoft.Midi.GmDls"" published by ""CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"", with neutral or x64 processor architecture and minimum version 1.0.0.0, along with this package to install.

NOTE: For additional information, look for [ActivityId] 924185f5-0230-0009-a9ca-b55904e4dc01 in the Event Log or use the command line Get-AppPackageLog -ActivityID 924185f5-0230-0009-a9ca-b55904e4dc01
"
"MobileBroadband","ok","ok","ok","ok","ok","ok","","12","39",""
